SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,SPXL_Ret_%,Trades
False,True,False,False,False,True,False,40,60,20.665547730991207,1.5
False,True,False,False,False,True,True,40,60,20.665547730991207,1.5
False,True,False,True,False,True,True,40,60,18.819681154040822,1.0
False,True,False,True,False,True,False,40,60,18.819681154040822,1.0
False,True,True,True,False,True,False,40,60,15.43069804353301,0.0
False,True,True,True,False,True,True,40,60,15.43069804353301,0.0
False,True,True,False,False,True,True,40,60,15.43069804353301,0.0
False,True,True,False,False,True,False,40,60,15.43069804353301,0.0
False,False,False,False,True,False,False,20,80,14.263435487694998,0.5
False,False,False,False,False,True,True,30,70,12.627196911753913,2.0
False,False,False,False,False,False,False,20,80,12.197865620165604,10.0
False,False,True,True,False,True,False,40,60,12.029145413469688,0.5
False,False,True,True,False,True,True,40,60,12.029145413469688,0.5
False,False,True,True,False,False,True,40,60,12.029145413469688,0.5
False,False,True,False,False,True,False,40,60,12.029145413469688,0.5
False,False,True,False,False,True,True,40,60,12.029145413469688,0.5
False,False,False,False,False,True,True,40,60,11.954434712196305,3.0
False,False,False,False,False,True,False,40,60,11.704431055553922,4.0
True,False,False,False,False,False,True,20,80,10.519424223038953,0.5
False,False,True,False,False,False,True,20,80,10.519424223038953,0.5
True,False,True,False,False,False,True,20,80,10.519424223038953,0.5
True,False,True,False,False,False,True,30,70,10.043002581915594,1.0
True,False,True,False,False,False,True,40,60,10.043002581915594,1.0
True,False,False,False,False,False,True,30,70,10.043002581915594,1.0
True,False,False,False,False,False,True,40,60,10.043002581915594,1.0
False,False,False,True,False,True,True,40,60,9.846016985491502,1.0
False,True,True,True,False,False,True,40,60,9.063788391754656,0.5
False,True,True,True,False,False,False,40,60,9.063788391754656,0.5
False,True,True,False,False,False,True,40,60,8.593641633227422,1.0
True,True,True,False,False,False,False,40,60,7.835801945612775,1.0
False,True,True,False,False,False,False,40,60,7.835801945612775,1.0
True,True,False,False,False,False,False,40,60,7.835801945612775,1.0
True,False,False,False,False,False,False,20,80,7.305168110312965,2.0
True,False,True,False,False,False,False,20,80,7.305168110312965,2.0
False,False,True,False,False,False,False,20,80,7.305168110312965,2.0
False,False,False,False,False,True,False,30,70,6.361020370808701,2.0
False,False,True,False,False,False,True,30,70,5.99309149464855,2.0
False,False,False,False,True,True,False,30,70,5.8092983456329295,0.0
False,True,False,False,True,True,True,30,70,5.8092983456329295,0.0
False,True,False,False,True,True,False,30,70,5.8092983456329295,0.0
False,True,False,False,False,True,False,30,70,5.8092983456329295,0.5
False,True,False,False,False,True,True,30,70,5.8092983456329295,0.5
False,False,False,False,True,True,True,30,70,5.8092983456329295,0.0
False,False,False,True,False,True,False,40,60,5.747918413322317,1.0
False,False,True,False,False,False,True,40,60,5.534758646604732,2.0
False,True,False,False,False,False,True,30,70,5.4699422227993955,1.5
False,False,True,False,False,False,False,30,70,5.067353285274301,3.0
True,False,False,False,False,False,False,30,70,5.067353285274301,3.0
True,False,True,False,False,False,False,30,70,5.067353285274301,3.0
False,False,True,True,False,False,False,40,60,4.172007898115715,1.5
False,False,False,False,True,False,False,40,60,3.9458217927540895,6.0
False,True,False,True,False,False,False,40,60,3.3119683720975734,2.0
False,True,False,False,True,True,False,40,60,1.5535023819479132,0.5
False,True,False,False,True,True,True,40,60,1.5535023819479132,0.5
False,False,False,False,True,True,False,40,60,1.5535023819479132,0.5
False,False,False,False,True,True,True,40,60,1.5535023819479132,0.5
False,False,True,False,False,False,False,40,60,1.4397174084482378,3.0
True,False,False,False,False,False,False,40,60,1.4397174084482378,3.0
True,False,True,False,False,False,False,40,60,1.4397174084482378,3.0
False,False,False,False,True,False,True,40,60,1.3091944294737923,1.5
False,True,False,False,True,False,True,40,60,1.3091944294737923,1.5
False,False,False,True,False,False,True,40,60,0.2809710017855904,1.0
False,True,False,True,False,False,True,40,60,0.2809710017855904,1.0
True,True,False,True,True,True,True,40,60,0.0,0.0
True,True,False,True,True,True,False,20,80,0.0,0.0
True,True,False,True,True,True,False,30,70,0.0,0.0
True,True,False,True,True,True,False,40,60,0.0,0.0
True,True,False,True,True,False,True,20,80,0.0,0.0
True,True,False,True,True,False,True,30,70,0.0,0.0
True,True,False,True,True,False,True,40,60,0.0,0.0
True,True,False,True,True,False,False,20,80,0.0,0.0
True,True,False,True,True,False,False,40,60,0.0,0.0
True,True,False,True,False,True,False,20,80,0.0,0.0
True,True,False,True,False,True,True,20,80,0.0,0.0
True,True,False,True,False,True,True,30,70,0.0,0.0
True,True,False,True,False,True,True,40,60,0.0,0.0
True,True,False,True,True,False,False,30,70,0.0,0.0
False,False,True,False,False,True,False,20,80,0.0,0.0
True,True,False,True,True,True,True,20,80,0.0,0.0
False,False,True,False,False,True,True,30,70,0.0,0.0
False,False,True,False,False,True,True,20,80,0.0,0.0
False,False,True,False,True,False,False,20,80,0.0,0.0
False,True,False,True,False,True,False,20,80,0.0,0.0
False,True,False,True,False,True,True,30,70,0.0,0.0
False,True,False,True,False,True,True,20,80,0.0,0.0
False,True,False,True,True,False,False,40,60,0.0,0.0
False,True,False,True,True,False,False,30,70,0.0,0.0
False,True,False,True,True,False,False,20,80,0.0,0.0
False,True,False,True,True,False,True,40,60,0.0,0.0
False,True,False,True,True,False,True,30,70,0.0,0.0
False,True,False,True,True,False,True,20,80,0.0,0.0
False,True,False,True,True,True,False,30,70,0.0,0.0
True,True,False,True,True,True,True,30,70,0.0,0.0
False,True,True,False,True,True,False,30,70,0.0,0.0
False,True,True,False,True,True,False,40,60,0.0,0.0
False,True,True,False,True,False,True,20,80,0.0,0.0
False,True,True,True,True,True,True,20,80,0.0,0.0
False,True,True,True,True,True,True,30,70,0.0,0.0
False,True,True,True,True,True,True,40,60,0.0,0.0
False,True,True,True,True,True,False,20,80,0.0,0.0
False,True,False,True,True,True,False,40,60,0.0,0.0
False,True,True,True,True,True,False,40,60,0.0,0.0
False,True,True,True,True,False,True,20,80,0.0,0.0
False,True,True,True,True,False,True,30,70,0.0,0.0
False,True,True,True,True,False,True,40,60,0.0,0.0
False,True,True,True,True,False,False,20,80,0.0,0.0
False,True,True,True,True,False,False,30,70,0.0,0.0
False,True,True,True,True,False,False,40,60,0.0,0.0
False,True,True,True,False,True,True,20,80,0.0,0.0
False,True,True,True,True,True,False,30,70,0.0,0.0
False,False,True,False,False,True,False,30,70,0.0,0.0
False,True,True,False,True,False,False,20,80,0.0,0.0
False,True,True,False,False,True,True,20,80,0.0,0.0
False,True,True,False,False,True,True,30,70,0.0,0.0
False,True,True,False,False,True,False,20,80,0.0,0.0
False,True,True,False,False,True,False,30,70,0.0,0.0
False,True,True,False,False,False,True,20,80,0.0,0.0
False,True,True,False,True,True,False,20,80,0.0,0.0
False,True,True,True,False,True,False,30,70,0.0,0.0
False,True,True,True,False,False,True,20,80,0.0,0.0
False,True,True,True,False,False,True,30,70,0.0,0.0
False,True,True,True,False,False,False,20,80,0.0,0.0
False,True,True,True,False,False,False,30,70,0.0,0.0
False,True,True,False,True,True,True,20,80,0.0,0.0
False,True,True,False,True,True,True,30,70,0.0,0.0
False,True,True,False,True,True,True,40,60,0.0,0.0
False,True,True,False,False,False,False,20,80,0.0,0.0
False,False,True,False,True,True,True,40,60,0.0,0.0
False,False,True,False,True,True,False,20,80,0.0,0.0
False,False,True,False,True,True,False,30,70,0.0,0.0
True,True,True,False,True,False,False,20,80,0.0,0.0
True,True,True,False,False,True,True,20,80,0.0,0.0
True,True,True,False,False,True,True,30,70,0.0,0.0
True,True,True,False,False,True,True,40,60,0.0,0.0
False,True,False,True,True,True,True,40,60,0.0,0.0
True,True,True,False,False,True,False,30,70,0.0,0.0
True,True,True,False,False,True,False,40,60,0.0,0.0
True,True,True,False,False,False,True,20,80,0.0,0.0
True,True,True,False,False,False,False,20,80,0.0,0.0
True,True,True,True,True,True,True,30,70,0.0,0.0
True,True,True,True,True,True,False,20,80,0.0,0.0
True,True,True,True,True,True,False,30,70,0.0,0.0
True,True,True,True,True,True,False,40,60,0.0,0.0
True,True,True,False,False,True,False,20,80,0.0,0.0
False,False,False,True,False,True,False,30,70,0.0,0.0
True,True,True,True,True,True,True,20,80,0.0,0.0
False,False,False,False,False,True,True,20,80,0.0,0.0
False,False,False,False,True,False,True,20,80,0.0,0.0
False,False,False,False,True,True,False,20,80,0.0,0.0
True,True,True,True,False,False,False,30,70,0.0,0.0
True,True,True,True,False,False,False,40,60,0.0,0.0
False,False,True,False,True,True,True,30,70,0.0,0.0
True,True,True,False,True,True,True,30,70,0.0,0.0
True,True,True,False,True,True,True,40,60,0.0,0.0
True,True,True,False,True,True,False,20,80,0.0,0.0
True,True,True,False,True,True,False,30,70,0.0,0.0
True,True,True,False,True,True,False,40,60,0.0,0.0
True,True,True,False,True,False,True,20,80,0.0,0.0
True,True,True,True,True,True,True,40,60,0.0,0.0
True,True,True,True,False,True,False,30,70,0.0,0.0
True,True,True,False,True,True,True,20,80,0.0,0.0
False,True,False,False,False,True,True,20,80,0.0,0.0
False,True,False,False,False,True,False,20,80,0.0,0.0
False,True,False,False,False,False,True,20,80,0.0,0.0
False,True,False,False,False,False,False,20,80,0.0,0.0
False,True,False,True,False,True,False,30,70,0.0,0.0
False,True,False,True,False,False,True,20,80,0.0,0.0
False,True,False,True,False,False,True,30,70,0.0,0.0
False,False,True,False,True,True,False,40,60,0.0,0.0
False,True,False,True,False,False,False,30,70,0.0,0.0
False,True,False,False,True,True,True,20,80,0.0,0.0
False,True,False,False,True,True,False,20,80,0.0,0.0
False,True,False,False,True,False,True,20,80,0.0,0.0
False,True,False,True,True,True,True,20,80,0.0,0.0
False,True,False,True,True,True,True,30,70,0.0,0.0
False,True,True,True,False,True,True,30,70,0.0,0.0
False,True,False,True,True,True,False,20,80,0.0,0.0
False,True,False,True,False,False,False,20,80,0.0,0.0
False,False,True,False,True,False,True,20,80,0.0,0.0
False,False,True,True,True,True,True,20,80,0.0,0.0
False,False,True,True,True,True,True,30,70,0.0,0.0
False,False,True,True,True,True,True,40,60,0.0,0.0
False,False,True,True,True,True,False,20,80,0.0,0.0
False,False,True,True,True,True,False,30,70,0.0,0.0
False,False,True,True,True,True,False,40,60,0.0,0.0
False,True,False,False,True,False,False,20,80,0.0,0.0
False,False,True,True,True,False,True,30,70,0.0,0.0
False,False,True,True,True,False,True,40,60,0.0,0.0
False,False,True,True,True,False,False,20,80,0.0,0.0
False,False,True,True,True,False,False,30,70,0.0,0.0
False,False,True,True,True,False,False,40,60,0.0,0.0
False,False,True,True,False,True,True,20,80,0.0,0.0
False,False,True,True,False,True,True,30,70,0.0,0.0
False,False,True,True,False,True,False,20,80,0.0,0.0
False,False,True,True,True,False,True,20,80,0.0,0.0
True,False,True,True,False,True,True,40,60,0.0,0.0
True,False,True,True,False,True,False,20,80,0.0,0.0
False,False,False,True,True,True,True,20,80,0.0,0.0
False,False,False,True,True,True,True,30,70,0.0,0.0
False,False,False,True,True,True,True,40,60,0.0,0.0
False,False,False,True,True,True,False,20,80,0.0,0.0
False,False,False,True,True,True,False,30,70,0.0,0.0
True,False,False,False,True,False,False,20,80,0.0,0.0
False,False,False,True,True,False,True,20,80,0.0,0.0
False,False,False,True,True,False,True,30,70,0.0,0.0
False,False,False,True,True,False,True,40,60,0.0,0.0
False,False,False,True,True,False,False,20,80,0.0,0.0
False,False,False,True,True,False,False,30,70,0.0,0.0
False,False,False,True,True,False,False,40,60,0.0,0.0
False,False,False,True,False,True,True,20,80,0.0,0.0
False,False,False,True,False,True,True,30,70,0.0,0.0
False,False,False,True,True,True,False,40,60,0.0,0.0
True,False,True,False,True,True,False,30,70,0.0,0.0
True,False,True,False,True,True,False,40,60,0.0,0.0
True,False,True,False,True,False,True,20,80,0.0,0.0
True,False,True,True,True,True,True,20,80,0.0,0.0
True,False,True,True,True,True,True,30,70,0.0,0.0
True,False,True,True,True,True,True,40,60,0.0,0.0
True,False,True,True,True,True,False,20,80,0.0,0.0
True,False,True,True,False,True,True,30,70,0.0,0.0
True,False,True,True,True,True,False,40,60,0.0,0.0
True,False,True,True,True,False,True,20,80,0.0,0.0
True,False,True,True,True,False,True,30,70,0.0,0.0
True,False,True,True,True,False,True,40,60,0.0,0.0
True,False,True,True,True,False,False,20,80,0.0,0.0
True,False,True,True,True,False,False,30,70,0.0,0.0
True,False,True,True,True,False,False,40,60,0.0,0.0
True,False,True,True,False,True,True,20,80,0.0,0.0
True,False,True,True,True,True,False,30,70,0.0,0.0
True,True,True,True,False,False,True,30,70,0.0,0.0
True,True,True,True,False,False,True,40,60,0.0,0.0
True,True,True,True,False,False,False,20,80,0.0,0.0
True,True,True,True,True,False,True,20,80,0.0,0.0
True,True,True,True,True,False,True,30,70,0.0,0.0
True,True,True,True,True,False,True,40,60,0.0,0.0
True,True,True,True,True,False,False,20,80,0.0,0.0
False,False,False,True,False,True,False,20,80,0.0,0.0
True,True,True,True,True,False,False,40,60,0.0,0.0
True,True,True,True,False,True,True,20,80,0.0,0.0
True,True,True,True,False,True,True,30,70,0.0,0.0
True,True,True,True,False,True,True,40,60,0.0,0.0
False,False,False,True,False,False,True,20,80,0.0,0.0
False,False,False,True,False,False,False,20,80,0.0,0.0
False,False,False,False,True,True,True,20,80,0.0,0.0
True,True,True,True,False,True,False,20,80,0.0,0.0
True,True,True,True,True,False,False,30,70,0.0,0.0
True,True,False,False,True,False,False,20,80,0.0,0.0
True,True,False,False,False,True,True,20,80,0.0,0.0
True,True,False,False,False,True,True,30,70,0.0,0.0
True,True,False,False,False,True,True,40,60,0.0,0.0
True,True,False,False,False,True,False,20,80,0.0,0.0
True,True,False,False,False,True,False,30,70,0.0,0.0
True,True,False,False,False,True,False,40,60,0.0,0.0
True,True,True,True,False,False,True,20,80,0.0,0.0
True,True,False,False,False,False,False,20,80,0.0,0.0
False,False,False,False,False,True,False,20,80,0.0,0.0
False,False,True,True,False,True,False,30,70,0.0,0.0
False,False,True,True,False,False,True,20,80,0.0,0.0
False,False,True,True,False,False,True,30,70,0.0,0.0
False,False,True,True,False,False,False,20,80,0.0,0.0
False,False,False,True,False,False,True,30,70,0.0,0.0
True,True,True,True,False,True,False,40,60,0.0,0.0
True,True,False,False,False,False,True,20,80,0.0,0.0
True,True,False,False,True,True,True,30,70,0.0,0.0
True,True,False,False,True,True,True,40,60,0.0,0.0
True,True,False,False,True,True,False,20,80,0.0,0.0
True,True,False,False,True,True,False,30,70,0.0,0.0
True,True,False,False,True,True,False,40,60,0.0,0.0
True,True,False,False,True,False,True,20,80,0.0,0.0
True,False,False,True,False,True,False,30,70,0.0,0.0
True,False,True,False,True,True,False,20,80,0.0,0.0
True,False,False,True,False,False,True,20,80,0.0,0.0
True,False,False,True,False,False,True,30,70,0.0,0.0
True,False,False,True,False,False,True,40,60,0.0,0.0
True,False,False,True,False,False,False,20,80,0.0,0.0
True,False,False,False,True,True,True,20,80,0.0,0.0
True,False,False,False,True,True,True,30,70,0.0,0.0
True,False,False,False,True,True,True,40,60,0.0,0.0
True,False,False,False,True,True,False,20,80,0.0,0.0
True,False,False,True,False,True,False,40,60,0.0,0.0
False,True,True,True,False,True,False,20,80,0.0,0.0
False,False,True,False,True,True,True,20,80,0.0,0.0
True,False,False,False,False,True,True,20,80,0.0,0.0
True,False,False,False,False,True,True,30,70,0.0,0.0
True,False,False,False,False,True,True,40,60,0.0,0.0
True,False,False,False,False,True,False,20,80,0.0,0.0
True,False,False,False,False,True,False,30,70,0.0,0.0
True,True,False,False,True,True,True,20,80,0.0,0.0
True,True,False,True,False,True,False,30,70,0.0,0.0
True,True,False,True,False,True,False,40,60,0.0,0.0
True,True,False,True,False,False,True,20,80,0.0,0.0
True,True,False,True,False,False,True,30,70,0.0,0.0
True,True,False,True,False,False,True,40,60,0.0,0.0
True,True,False,True,False,False,False,20,80,0.0,0.0
True,True,False,True,False,False,False,30,70,0.0,0.0
True,True,False,True,False,False,False,40,60,0.0,0.0
True,False,False,False,False,True,False,40,60,0.0,0.0
True,False,True,False,True,False,False,20,80,0.0,0.0
True,False,True,False,False,True,True,20,80,0.0,0.0
True,False,True,False,False,True,True,30,70,0.0,0.0
True,False,True,False,False,True,True,40,60,0.0,0.0
True,False,True,False,False,True,False,20,80,0.0,0.0
True,False,True,False,False,True,False,30,70,0.0,0.0
True,False,True,False,False,True,False,40,60,0.0,0.0
True,False,False,False,True,True,False,30,70,0.0,0.0
True,False,True,True,False,True,False,40,60,0.0,0.0
True,False,True,True,False,False,True,20,80,0.0,0.0
True,False,True,True,False,False,True,30,70,0.0,0.0
True,False,True,True,False,False,True,40,60,0.0,0.0
True,False,True,True,False,False,False,20,80,0.0,0.0
True,False,True,False,True,True,True,20,80,0.0,0.0
True,False,True,False,True,True,True,30,70,0.0,0.0
True,False,True,False,True,True,True,40,60,0.0,0.0
True,False,True,True,False,True,False,30,70,0.0,0.0
True,False,False,False,True,True,False,40,60,0.0,0.0
True,False,False,False,True,False,True,20,80,0.0,0.0
True,False,False,True,True,True,True,20,80,0.0,0.0
True,False,False,True,True,True,True,30,70,0.0,0.0
True,False,False,True,True,True,True,40,60,0.0,0.0
True,False,False,True,True,True,False,20,80,0.0,0.0
True,False,False,True,True,True,False,30,70,0.0,0.0
True,False,False,True,True,True,False,40,60,0.0,0.0
True,False,False,True,False,True,False,20,80,0.0,0.0
True,False,False,True,True,False,True,30,70,0.0,0.0
True,False,False,True,True,False,True,40,60,0.0,0.0
True,False,False,True,True,False,False,20,80,0.0,0.0
True,False,False,True,True,False,False,30,70,0.0,0.0
True,False,False,True,True,False,False,40,60,0.0,0.0
True,False,False,True,False,True,True,20,80,0.0,0.0
True,False,False,True,False,True,True,30,70,0.0,0.0
True,False,False,True,False,True,True,40,60,0.0,0.0
True,False,False,True,True,False,True,20,80,0.0,0.0
False,True,False,False,False,False,True,40,60,-0.4675008764582933,3.5
False,False,False,False,False,False,False,40,60,-0.6862903097174522,24.5
False,True,True,False,True,False,False,40,60,-1.1848831980307617,0.0
False,False,True,False,True,False,True,30,70,-1.1848831980307617,0.0
False,True,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,True,True,False,True,False,False,30,70,-1.1848831980307617,0.0
False,False,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,True,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,False,30,70,-1.1848831980307617,0.0
False,False,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,False,40,60,-1.1848831980307617,0.0
True,True,False,False,True,False,False,30,70,-1.1848831980307617,0.0
True,True,False,False,True,False,False,40,60,-1.1848831980307617,0.0
True,False,True,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,False,False,True,False,True,40,60,-1.1848831980307617,0.0
True,False,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,False,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,True,True,False,True,False,True,30,70,-1.1848831980307617,0.0
True,False,False,False,True,False,True,40,60,-1.1848831980307617,0.0
True,True,False,False,True,False,True,30,70,-1.1848831980307617,0.0
True,True,True,False,True,False,True,40,60,-1.1848831980307617,0.0
False,False,False,False,False,False,False,30,70,-1.2707457654935972,18.5
False,True,False,False,True,False,False,40,60,-1.4190145578423574,3.0
False,False,False,False,True,False,False,30,70,-1.4426247355454391,3.5
False,True,False,False,True,False,False,30,70,-2.282788767637123,1.0
True,False,False,False,True,False,False,40,60,-2.30575949137638,2.0
False,False,True,False,True,False,False,40,60,-2.30575949137638,2.0
True,False,True,False,True,False,False,40,60,-2.30575949137638,2.0
False,False,False,False,False,False,True,20,80,-2.6197796226801073,3.0
True,False,True,False,True,False,False,30,70,-2.6358889596368784,1.5
True,False,False,False,True,False,False,30,70,-2.6358889596368784,1.5
False,False,True,False,True,False,False,30,70,-2.6358889596368784,1.5
True,True,False,False,False,False,True,30,70,-3.189847434741966,1.0
True,True,True,False,False,False,True,40,60,-3.189847434741966,1.0
True,True,False,False,False,False,True,40,60,-3.189847434741966,1.0
True,True,True,False,False,False,True,30,70,-3.189847434741966,1.0
False,True,True,False,False,False,True,30,70,-3.189847434741966,1.0
False,False,False,True,False,False,False,40,60,-3.604810518502488,4.0
False,False,False,True,False,False,False,30,70,-4.638134843165487,2.0
True,True,False,False,False,False,False,30,70,-4.912154862963991,1.0
False,True,True,False,False,False,False,30,70,-4.912154862963991,1.0
True,True,True,False,False,False,False,30,70,-4.912154862963991,1.0
False,False,False,False,False,False,True,30,70,-5.334712901166383,6.0
False,False,False,False,False,False,True,40,60,-5.349513649695714,7.5
True,False,True,True,False,False,False,30,70,-5.549506137180571,1.0
False,False,True,True,False,False,False,30,70,-5.549506137180571,1.0
True,False,True,True,False,False,False,40,60,-5.549506137180571,1.0
True,False,False,True,False,False,False,30,70,-5.549506137180571,1.0
True,False,False,True,False,False,False,40,60,-5.549506137180571,1.0
False,True,False,False,False,False,False,40,60,-7.598986034666799,7.5
False,True,False,False,False,False,False,30,70,-10.722277854901796,4.5
